PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,HOF
Ty Cobb,24,3035,11434,2246,4189,724,295,117,726,1249,357,892,178,0.366,1
Stan Musial,22,3026,10972,1949,3630,725,177,475,1951,1599,696,78,31,0.331,1
Tris Speaker,22,2789,10195,1882,3514,792,222,117,724,1381,220,432,129,0.345,1
Derek Jeter,20,2747,11195,1923,3465,544,66,260,1311,1082,1840,358,97,0.31,1
Honus Wagner,21,2792,10430,1736,3430,640,252,101,0,963,327,722,15,0.329,1
Carl Yastrzemski,23,3308,11988,1816,3419,646,59,452,1844,1845,1393,168,116,0.285,1
Paul Molitor,21,2683,10835,1782,3319,605,114,234,1307,1094,1244,504,131,0.306,1
Eddie Collins,25,2826,9949,1821,3315,438,187,47,520,1499,286,744,173,0.333,1
Willie Mays,22,2992,10881,2062,3283,523,140,660,1903,1464,1526,338,103,0.302,1
Eddie Murray,21,3026,11336,1627,3255,560,35,504,1917,1333,1516,110,43,0.287,1
Nap Lajoie,21,2480,9589,1504,3242,657,163,83,0,516,85,380,21,0.338,1
George Brett,21,2707,10349,1583,3154,665,137,317,1596,1096,907,201,97,0.305,1
Paul Waner,20,2549,9459,1627,3152,605,191,113,1309,1091,376,104,0,0.333,1
Robin Yount,20,2856,11008,1632,3142,583,126,251,1406,966,1350,271,105,0.285,1
Tony Gwynn,20,2440,9288,1383,3141,543,85,135,1138,790,434,319,125,0.338,1
Dave Winfield,23,2973,11003,1669,3110,540,88,465,1834,1216,1686,223,96,0.283,1
Craig Biggio,20,2850,10876,1844,3060,668,55,291,1175,1160,1753,414,124,0.281,1
Rickey Henderson,25,3081,10961,2295,3055,510,66,297,1115,2190,1694,1406,335,0.279,1
Rod Carew,19,2469,9315,1424,3053,445,112,92,1015,1018,1028,353,187,0.328,1
Lou Brock,19,2616,10332,1610,3023,486,141,149,900,761,1730,938,307,0.293,1
Wade Boggs,18,2440,9180,1513,3010,578,61,118,1014,1412,745,24,35,0.328,1
Al Kaline,22,2834,10116,1622,3007,498,75,399,1583,1277,1020,137,65,0.297,1
Roberto Clemente,18,2433,9454,1416,3000,440,166,240,1305,621,1230,83,46,0.317,1
Cap Anson,22,2276,9101,1719,2995,528,124,97,0,952,294,247,0,0.329,1
Sam Rice,20,2404,9269,1514,2987,498,184,34,918,708,275,351,143,0.322,1
Sam Crawford,19,2517,9570,1391,2961,458,309,97,0,760,104,366,30,0.309,1
Frank Robinson,21,2808,10006,1829,2943,528,72,586,1812,1420,1532,204,77,0.294,1
Willie Keeler,19,2123,8591,1719,2932,241,145,33,0,524,36,495,0,0.341,1
Jake Beckley,20,2386,9526,1600,2930,473,243,86,0,616,270,315,0,0.308,1
Rogers Hornsby,23,2259,8173,1579,2930,541,169,301,1318,1038,679,135,64,0.358,1
Al Simmons,20,2215,8759,1507,2927,539,149,307,1827,615,737,88,64,0.334,1
Zack Wheat,19,2410,9106,1289,2884,476,172,132,608,650,559,205,49,0.317,1
Frankie Frisch,19,2311,9112,1532,2880,466,138,105,1220,728,272,419,74,0.316,1
Mel Ott,22,2730,9456,1859,2876,488,72,511,1860,1708,896,89,0,0.304,1
Babe Ruth,22,2503,8399,2174,2873,506,136,714,1983,2056,1330,123,117,0.342,1
Harold Baines,22,2830,9908,1299,2866,488,49,384,1628,1062,1441,34,34,0.289,1
Jesse Burkett,16,2066,8421,1720,2850,320,182,75,0,1029,230,389,0,0.338,1
Brooks Robinson,23,2896,10654,1232,2848,482,68,268,1357,860,990,28,22,0.267,1
Charlie Gehringer,19,2323,8860,1774,2839,574,146,184,1427,1186,372,181,89,0.32,1
George Sisler,15,2055,8267,1284,2812,425,164,102,894,472,327,375,127,0.34,1
Ken Griffey Jr.,22,2671,9801,1662,2781,524,38,630,1836,1312,1779,184,69,0.284,1
Andre Dawson,21,2627,9927,1373,2774,503,98,438,1591,589,1509,314,110,0.279,1
Luke Appling,20,2422,8856,1319,2749,440,102,45,1116,1302,528,179,108,0.31,1
Goose Goslin,18,2287,8656,1483,2735,500,173,248,1609,949,585,175,89,0.316,1
Tony Perez,23,2777,9778,1272,2732,505,79,379,1652,925,1867,49,33,0.279,1
Chipper Jones,19,2499,8984,1619,2726,549,38,468,1623,1512,1409,150,46,0.303,1
Roberto Alomar,17,2379,9073,1508,2724,504,80,210,1134,1032,1140,474,114,0.3,1
Lou Gehrig,17,2164,8001,1888,2721,534,163,493,1995,1508,790,102,101,0.34,1
Billy Williams,18,2488,9350,1410,2711,434,88,426,1475,1045,1046,90,49,0.29,1
Luis Aparicio,18,2599,10230,1335,2677,394,92,83,791,736,742,506,136,0.262,1
Fred Clarke,21,2242,8568,1619,2672,361,220,67,0,874,135,506,0,0.312,1
Max Carey,20,2476,9363,1545,2665,419,159,70,432,1040,695,738,92,0.285,1
Nellie Fox,19,2367,9232,1279,2663,355,112,35,790,719,216,76,80,0.288,1
George Davis,24,2368,9031,1539,2660,451,163,73,0,870,180,616,0,0.295,1
Harry Heilmann,17,2148,7787,1291,2660,542,151,183,1230,856,550,113,64,0.342,1
Ted Williams,19,2292,7706,1798,2654,525,71,521,1839,2019,709,24,17,0.344,1
Jimmie Foxx,20,2317,8134,1751,2646,458,125,534,1922,1452,1311,87,72,0.325,1
Rabbit Maranville,23,2670,10078,1255,2605,380,177,28,580,839,756,291,93,0.258,1
Ed Delahanty,16,1835,7505,1599,2596,522,185,101,0,741,244,455,0,0.346,1
Vladimir Guerrero,16,2147,8155,1328,2590,477,46,449,1496,737,985,181,94,0.318,1
Reggie Jackson,21,2820,9864,1551,2584,463,49,563,1702,1375,2597,228,115,0.262,1
Ernie Banks,19,2528,9421,1305,2583,407,90,512,1636,763,1236,50,53,0.274,1
Richie Ashburn,15,2189,8365,1322,2574,317,109,29,586,1198,571,234,92,0.308,1
Heinie Manush,17,2008,7654,1287,2524,491,160,110,1183,506,345,114,58,0.33,1
Joe Morgan,22,2649,9277,1650,2517,449,96,268,1133,1865,1015,689,162,0.271,1
Fred McGriff,19,2460,8757,1349,2490,441,24,493,1550,1305,1882,72,38,0.284,1
David Ortiz,20,2408,8640,1419,2472,632,19,541,1768,1319,1750,17,9,0.286,1
Ted Simmons,21,2456,8680,1074,2472,483,47,248,1389,855,694,21,33,0.285,1
Joe Medwick,17,1984,7635,1198,2471,540,113,205,1383,437,551,42,0,0.324,1
Frank Thomas,19,2322,8199,1494,2468,495,12,521,1704,1667,1397,32,23,0.301,1
Roger Connor,18,1997,7794,1620,2467,441,233,138,0,1002,449,244,0,0.317,1
Harry Hooper,17,2309,8785,1429,2466,389,160,75,373,1136,412,375,121,0.281,1
Ozzie Smith,19,2573,9396,1257,2460,402,69,28,793,1072,589,580,148,0.262,1
Lloyd Waner,18,1993,7772,1201,2459,281,118,27,598,420,173,67,0,0.316,1
Jim Rice,16,2089,8225,1249,2452,373,79,382,1451,670,1423,58,34,0.298,1
Red Schoendienst,19,2216,8479,1223,2449,427,78,84,773,606,346,89,27,0.289,1
Pie Traynor,17,1941,7559,1183,2416,371,164,58,1273,472,278,158,46,0.32,1
Mickey Mantle,18,2401,8102,1677,2415,344,72,536,1509,1733,1710,153,38,0.298,1
Ryne Sandberg,16,2164,8385,1318,2386,403,76,282,1061,761,1260,344,107,0.285,1
Enos Slaughter,19,2380,7946,1247,2383,413,148,169,1304,1018,538,71,15,0.3,1
Edd Roush,18,1967,7363,1099,2376,339,182,68,671,484,260,268,92,0.323,1
Alan Trammell,20,2293,8288,1231,2365,412,55,185,1003,850,874,236,109,0.285,1
Carlton Fisk,24,2499,8756,1276,2356,421,47,376,1330,849,1386,128,58,0.269,1
Orlando Cepeda,17,2124,7927,1131,2351,417,27,379,1365,588,1169,142,80,0.297,1
Billy Herman,15,1922,7707,1163,2345,486,82,47,839,737,428,67,0,0.304,1
Joe Torre,18,2209,7874,996,2342,344,59,252,1185,779,1094,23,29,0.297,1
Barry Larkin,19,2180,7937,1329,2340,441,76,198,960,939,817,379,77,0.295,1
Jim Thome,22,2543,8422,1583,2328,451,26,612,1699,1747,2548,19,20,0.276,1
Eddie Mathews,17,2391,8537,1509,2315,354,72,512,1453,1444,1487,68,39,0.271,1
Jeff Bagwell,15,2150,7797,1517,2314,488,32,449,1529,1401,1558,202,78,0.297,1
Jim Bottomley,16,1991,7471,1177,2313,465,151,219,1422,664,591,58,15,0.31,1
Bobby Wallace,25,2383,8618,1057,2309,391,143,34,0,774,79,201,2,0.268,1
Jim O'rourke,19,1774,7435,1446,2304,414,132,50,0,481,348,191,0,0.31,1
Kirby Puckett,12,1783,7244,1071,2304,414,57,207,1085,450,965,134,76,0.318,1
Kiki Cuyler,18,1879,7161,1305,2299,394,157,128,1065,676,752,328,27,0.321,1
Dan Brouthers,19,1673,6711,1523,2296,460,205,106,0,840,238,256,0,0.342,1
Joe Cronin,20,2124,7579,1233,2285,515,118,170,1424,1059,700,87,71,0.301,1
Hugh Duffy,17,1737,7042,1552,2282,325,119,106,0,662,211,574,0,0.324,1
Ron Santo,15,2243,8143,1138,2254,365,67,342,1331,1108,1343,35,41,0.277,1
Bid McPhee,18,2135,8291,1678,2250,303,188,53,0,981,229,568,0,0.271,1
Edgar Martinez,18,2055,7213,1219,2247,514,15,309,1261,1283,1202,49,30,0.312,1
Mike Schmidt,18,2404,8352,1506,2234,408,59,548,1595,1507,1883,174,92,0.267,1
Willie Stargell,21,2360,7927,1195,2232,423,55,475,1540,937,1936,17,16,0.282,1
Joe Sewell,14,1903,7132,1141,2226,436,68,49,1055,842,114,74,72,0.312,1
Joe Kelley,17,1853,7006,1421,2220,358,194,65,0,911,163,443,0,0.317,1
Joe DiMaggio,13,1736,6821,1390,2214,389,131,361,1537,790,369,30,9,0.325,1
Willie McCovey,22,2588,8197,1229,2211,353,46,521,1555,1345,1550,26,22,0.27,1
Bill Terry,14,1721,6428,1120,2193,373,112,154,1078,537,449,56,6,0.341,1
Pee wee Reese,16,2166,8058,1338,2170,330,80,126,885,1210,890,232,45,0.269,1
Larry Walker,18,1988,6907,1355,2160,471,62,383,1311,913,1231,230,76,0.313,1
Billy Hamilton,14,1591,6268,1690,2158,242,94,40,0,1187,218,912,0,0.344,1
Yogi Berra,19,2120,7555,1175,2150,321,49,358,1430,704,414,30,26,0.285,1
Mike Piazza,16,1912,6911,1048,2127,344,8,427,1335,759,1113,17,20,0.308,1
Duke Snider,18,2143,7161,1259,2116,358,85,407,1333,971,1237,99,50,0.295,1
John Ward,17,1825,7647,1408,2104,231,96,26,0,420,326,540,0,0.275,1
Arky Vaughan,14,1817,6622,1173,2103,356,128,96,926,937,276,118,0,0.318,1
Gary Carter,19,2296,7971,1025,2092,371,31,324,1225,848,997,39,42,0.262,1
Harmon Killebrew,22,2435,8147,1283,2086,290,24,573,1584,1559,1699,19,18,0.256,1
George Burns,15,1853,7241,1188,2077,362,108,41,260,872,565,383,139,0.287,1
Scott Rolen,17,2038,7398,1211,2077,517,43,316,1287,899,1410,118,49,0.281,1
Chuck Klein,17,1753,6486,1168,2076,398,74,300,1201,601,521,79,0,0.32,1
George Kell,15,1795,6702,881,2054,385,50,78,870,621,287,51,36,0.306,1
Johnny Bench,17,2158,7658,1091,2048,381,24,389,1376,891,1278,68,43,0.267,1
Bobby Doerr,14,1865,7093,1094,2042,381,89,223,1247,809,608,54,64,0.288,1
Earl Averill,13,1668,6353,1224,2019,401,128,238,1164,774,518,70,57,0.318,1
George Burns,16,1866,6573,901,2018,444,72,72,604,363,433,154,63,0.307,1
Bill Mazeroski,17,2163,7755,769,2016,294,62,138,853,447,706,27,23,0.26,1
Johnny Mize,15,1884,6443,1118,2011,367,83,359,1337,856,524,28,1,0.312,1
Dave Bancroft,16,1913,7182,1048,2004,320,77,32,434,827,487,145,75,0.279,1
Jimmy Collins,14,1725,6795,1055,1999,352,116,65,0,426,32,194,0,0.294,1
Sam Thompson,15,1407,5984,1256,1979,340,160,127,0,450,226,229,0,0.331,1
Bill Dickey,17,1789,6300,930,1969,343,72,202,1209,678,289,36,29,0.313,1
Minnie Minoso,17,1835,6579,1136,1963,336,83,186,1023,814,584,205,130,0.298,1
Gil Hodges,18,2071,7030,1105,1921,295,48,370,1274,943,1137,63,31,0.273,1
Tony Oliva,15,1676,6301,870,1917,329,48,220,947,448,645,86,55,0.304,1
Gabby Hartnett,20,1990,6432,867,1912,396,64,236,1179,703,697,28,7,0.297,1
Earle Combs,12,1455,5746,1186,1866,309,154,58,632,670,278,96,71,0.325,1
Tony Lazzeri,14,1740,6297,986,1840,334,115,178,1191,869,864,148,79,0.292,1
King Kelly,16,1455,5894,1357,1813,359,102,69,0,549,418,368,0,0.308,1
Ernie Lombardi,17,1853,5855,601,1792,277,27,190,990,430,262,8,0,0.306,1
Lou Boudreau,15,1646,6029,861,1779,385,66,68,789,796,309,51,50,0.295,1
George Kelly,16,1622,5993,819,1778,337,76,148,999,386,694,65,43,0.297,1
Travis Jackson,15,1656,6086,833,1768,291,86,135,929,412,565,71,13,0.291,1
Elmer Flick,13,1483,5597,950,1752,268,164,48,0,597,0,330,0,0.313,1
Rick Ferrell,18,1884,6028,687,1692,324,45,28,734,931,277,29,35,0.281,1
Joe Tinker,15,1804,6434,774,1687,263,114,31,0,416,149,336,0,0.262,1
Frank Thomas,16,1766,6285,792,1671,262,31,286,962,484,894,15,22,0.266,1
Hank Aaron,23,3298,12364,2174,3771,624,98,755,2297,1402,1383,240,73,0.305,1
Cal Ripken,21,3001,11551,1647,3184,603,44,431,1695,1129,1305,36,39,0.276,1
Omar Vizquel,24,2968,10586,1445,2877,456,77,80,951,1028,1087,404,167,0.272,0
Iván Rodríguez,21,2544,9594,1354,2845,573,51,311,1333,513,1475,127,64,0.297,1
Johnny Damon,18,2490,9736,1668,2769,522,109,235,1139,1003,1257,408,103,0.284,0
Vada Pinson,18,2469,9645,1366,2757,485,127,256,1170,574,1196,305,122,0.286,0
Al Oliver,18,2368,9049,1189,2743,529,77,219,1326,535,756,84,64,0.303,0
Carlos Beltran,20,2586,9768,1582,2725,565,78,435,1587,1084,1795,312,49,0.279,0
Rusty Staub,23,2951,9720,1189,2716,499,47,292,1466,1255,888,47,33,0.279,0
Bill Buckner,22,2517,9397,1077,2715,498,49,174,1208,450,453,183,73,0.289,0
Dave Parker,19,2466,9358,1272,2712,526,75,339,1493,683,1537,154,113,0.29,0
Doc Cramer,20,2239,9140,1357,2705,396,109,37,842,572,345,62,73,0.296,0
Lave Cross,21,2275,9072,1333,2645,411,135,47,0,464,90,301,0,0.292,0
Tim Raines Sr.,23,2502,8872,1571,2605,430,113,170,980,1330,966,808,146,0.294,2
Steve Garvey,19,2332,8835,1143,2599,440,43,272,1308,479,1003,83,62,0.294,0
Luis Gonzalez,19,2591,9157,1412,2591,596,68,354,1439,1155,1218,128,87,0.283,0
Julio Franco,23,2527,8677,1285,2586,407,54,173,1194,917,1341,281,107,0.298,0
Willie Davis,18,2429,9174,1217,2561,395,138,182,1053,418,977,398,131,0.279,0
Steve Finley,19,2583,9397,1443,2548,449,124,304,1167,844,1299,320,118,0.271,0
George Vanhaltren,17,1984,8021,1639,2532,285,161,69,0,868,305,583,0,0.316,0
Garret Anderson,17,2228,8640,1084,2529,522,36,287,1365,429,1224,80,47,0.293,0
Todd Helton,17,2247,7962,1401,2519,592,37,369,1406,1335,1175,37,29,0.316,0
Buddy Bell,18,2405,8995,1151,2514,425,56,201,1106,836,776,55,79,0.279,0
Jimmy Ryan,18,2012,8164,1642,2502,451,157,118,0,803,361,418,0,0.306,0
Mickey Vernon,20,2409,8731,1196,2495,490,120,172,1311,955,869,137,90,0.286,0
Bobby Abreu,18,2425,8480,1453,2470,574,59,288,1363,1476,1840,400,128,0.291,0
Jeff Kent,17,2298,8498,1320,2461,560,47,377,1518,801,1522,94,60,0.29,0
Bill Dahlen,21,2443,9031,1589,2457,413,163,84,0,1064,269,547,0,0.272,0
Jimmy Rollins,17,2275,9294,1421,2455,511,115,231,936,813,1264,470,105,0.264,0
Torii Hunter,19,2372,8857,1296,2452,498,39,353,1391,661,1741,195,99,0.277,0
Dwight Evans,20,2606,8996,1470,2446,483,73,385,1384,1391,1697,78,59,0.272,0
Mark Grace,16,2245,8065,1179,2445,511,45,173,1146,1075,642,70,48,0.303,0
Kenny Lofton,17,2103,8120,1528,2428,383,116,130,781,945,1016,622,160,0.299,0
Stuffy McInnis,19,2128,7822,872,2405,312,101,20,416,380,189,172,59,0.307,0
Chili Davis,19,2436,8673,1240,2380,424,30,350,1372,1194,1698,142,98,0.274,0
Brett Butler,17,2213,8180,1359,2375,277,131,54,578,1129,907,558,257,0.29,0
Michael Young,14,1970,7918,1137,2375,441,60,185,1030,575,1235,90,30,0.3,0
Lou Whitaker,19,2390,8570,1386,2369,420,65,244,1084,1197,1099,143,75,0.276,0
Joe Judge,20,2171,7898,1184,2352,433,159,71,890,965,478,213,92,0.298,0
Paul Konerko,18,2349,8393,1162,2340,410,8,439,1412,921,1391,9,4,0.279,0
Bernie Williams,16,2076,7869,1366,2336,449,55,287,1257,1069,1212,147,87,0.297,0
Andres Galarraga,19,2257,8096,1195,2333,444,32,399,1425,583,2003,128,81,0.288,0
Edgar Renteria,16,2152,8142,1200,2327,436,29,140,923,718,1182,294,108,0.286,0
B.J. Surhoff,19,2313,8258,1062,2326,440,42,188,1153,640,839,141,84,0.282,0
Dave Concepcion,19,2488,8723,993,2326,389,48,101,950,736,1186,321,109,0.267,0
Jake Daubert,15,2014,7673,1117,2326,250,165,56,263,623,489,251,78,0.303,0
Aramis Ramirez,18,2194,8136,1098,2303,495,24,386,1417,633,1238,29,18,0.283,0
Charlie Grimm,20,2166,7917,908,2299,394,108,79,1060,578,410,57,44,0.29,0
Gary Gaetti,20,2507,8951,1130,2280,443,39,360,1341,634,1602,96,65,0.255,0
Tony Fernandez,17,2158,7911,1057,2276,414,92,94,844,690,784,246,138,0.288,0
Carlos Lee,14,2099,7983,1125,2273,469,19,358,1363,655,984,125,47,0.285,0
Jimmy Dykes,22,2282,8046,1108,2256,453,90,108,1057,958,850,70,55,0.28,0
Willie McGee,18,2201,7649,1010,2254,350,94,79,856,448,1238,352,121,0.295,0
Patsy Donovan,17,1821,7496,1318,2253,207,75,16,0,453,131,518,0,0.301,0
Tommy Corcoran,18,2200,8804,1184,2252,289,155,34,0,382,205,387,0,0.256,0
Jose Cruz,19,2353,7917,1036,2251,391,94,165,1077,898,1031,317,136,0.284,0
Marquis Grissom,17,2165,8275,1187,2251,386,56,227,967,553,1240,429,116,0.272,0
Bert Campaneris,19,2328,8684,1181,2249,313,86,79,646,618,1142,649,199,0.259,0
John Olerud,17,2234,7592,1139,2239,500,13,255,1230,1275,1016,11,14,0.295,0
Fred Tenney,17,1994,7595,1278,2231,270,77,22,0,874,43,285,0,0.294,0
Graig Nettles,22,2700,8986,1193,2225,328,28,390,1314,1088,1209,32,36,0.248,0
Darrell Evans,21,2687,8973,1344,2223,329,36,414,1354,1605,1410,98,68,0.248,0
Juan Pierre,14,1994,7525,1075,2217,255,94,18,517,464,479,614,203,0.295,0
Joe Kuhel,18,2104,7984,1236,2212,412,111,131,1049,980,612,178,90,0.277,0
Willie Randolph,18,2202,8018,1239,2210,316,65,54,687,1243,675,271,94,0.276,0
Willie Wilson,19,2154,7731,1169,2207,281,147,41,585,425,1144,668,134,0.285,0
Jason Kendall,15,2085,7627,1030,2195,394,35,75,744,721,686,189,89,0.288,0
Stan Hack,16,1938,7278,1239,2193,363,81,57,642,1092,466,165,0,0.301,0
Cecil Cooper,17,1896,7349,1012,2192,415,47,241,1125,448,911,89,49,0.298,0
Larry Bowa,16,2247,8418,987,2191,262,99,15,525,474,569,318,105,0.26,0
Joe Carter,16,2189,8422,1170,2184,432,53,396,1445,527,1387,231,66,0.259,0
Keith Hernandez,17,2088,7370,1124,2182,426,60,162,1071,1070,1012,98,63,0.296,0
Will Clark,15,1976,7173,1186,2176,440,47,284,1205,937,1190,67,48,0.303,0
Sherry Magee,16,2087,7441,1112,2169,425,166,83,0,736,359,441,12,0.291,0
Dick Bartell,18,2016,7629,1130,2165,442,71,79,710,748,627,109,3,0.284,0
Hal Chase,15,1919,7417,980,2158,322,124,57,0,276,306,363,15,0.291,0
Magglio Ordonez,15,1848,6978,1076,2156,426,21,294,1236,651,852,94,50,0.309,0
Don Mattingly,14,1785,7003,1007,2153,442,20,222,1099,588,444,14,9,0.307,0
Victor Martinez,16,1973,7297,914,2153,423,3,246,1178,730,891,7,7,0.295,0
Ruben Sierra,20,2186,8044,1084,2152,428,59,306,1322,610,1239,142,52,0.268,0
Ed Konetchy,15,2085,7649,972,2150,344,181,75,145,689,545,255,5,0.281,0
Ken Boyer,15,2034,7455,1104,2143,318,68,282,1141,713,1017,105,77,0.287,0
